condition,n_test_trials,n_test_bins_total,input_total_nll,input_nll_per_bin,input_mean_trial_nll_per_bin,no_input_total_nll,no_input_nll_per_bin,no_input_mean_trial_nll_per_bin,delta_nll_per_bin_no_input_minus_input
1,8,960,62406.3095703125,65.00657246907552,65.00657246907551,62426.31396484375,65.02741038004557,65.02741038004558,0.020837910970044504
2,7,840,57180.2177734375,68.07168782552084,68.07168782552084,57180.4658203125,68.07198311941964,68.07198311941964,0.000295293898801674
3,8,360,26468.58203125,73.52383897569445,73.52383897569445,26495.048583984375,73.59735717773438,73.59735717773438,0.07351820203993498
4,7,315,23323.584228515625,74.04312453497023,74.04312453497025,23380.213623046875,74.222900390625,74.222900390625,0.17977585565476772
5,7,840,62242.5888671875,74.09832007998511,74.09832007998513,62284.9306640625,74.14872698102678,74.14872698102678,0.05040690104166856
6,9,720,61096.10205078125,84.85569729275174,84.85569729275174,61162.14453125,84.94742296006945,84.94742296006945,0.0917256673177036
7,12,792,68915.53271484375,87.0145615086411,87.01456150864111,69558.4482421875,87.82632353811553,87.82632353811555,0.811762029474437
8,15,1395,119061.28857421875,85.34859396001345,85.34859396001345,119297.41796875,85.51786234318996,85.51786234318996,0.16926838317651516
